"","startDateTime","soilTempMean"
"199",2022-01-05 03:00:00,6.23948484848485
"200",2022-01-05 03:30:00,6.23275757575758
"201",2022-01-05 04:00:00,6.22636363636364
"202",2022-01-05 04:30:00,6.22157575757576
"203",2022-01-05 05:00:00,6.21406060606061
"204",2022-01-05 05:30:00,6.20454545454546
"205",2022-01-05 06:00:00,6.19342424242424
"206",2022-01-05 06:30:00,6.18369696969697
"207",2022-01-05 07:00:00,6.17512121212121
"208",2022-01-05 07:30:00,6.16618181818182
"209",2022-01-05 08:00:00,6.15715151515152
"210",2022-01-05 08:30:00,6.14584848484848
"211",2022-01-05 09:00:00,6.13648484848485
"212",2022-01-05 09:30:00,6.13642424242424
"213",2022-01-05 10:00:00,6.13127272727273
"214",2022-01-05 10:30:00,6.12484848484848
"215",2022-01-05 11:00:00,6.11951515151515
"216",2022-01-05 11:30:00,6.11524242424242
"217",2022-01-05 12:00:00,6.1149696969697
"218",2022-01-05 12:30:00,6.11221212121212
"219",2022-01-05 13:00:00,6.11212121212121
"220",2022-01-05 13:30:00,6.11218181818182
"221",2022-01-05 14:00:00,6.10978787878788
"222",2022-01-05 14:30:00,6.10687878787879
"223",2022-01-05 15:00:00,6.11048484848485
"224",2022-01-05 15:30:00,6.11087878787879
"225",2022-01-05 16:00:00,6.11033333333333
"226",2022-01-05 16:30:00,6.10866666666667
"227",2022-01-05 17:00:00,6.10890909090909
"228",2022-01-05 17:30:00,6.10890909090909
"229",2022-01-05 18:00:00,6.10927272727273
"230",2022-01-05 18:30:00,6.11154545454545
"231",2022-01-05 19:00:00,6.11136363636364
"232",2022-01-05 19:30:00,6.11218181818182
"233",2022-01-05 20:00:00,6.11157575757576
"234",2022-01-05 20:30:00,6.10939393939394
"235",2022-01-05 21:00:00,6.10836363636364
"236",2022-01-05 21:30:00,6.10827272727273
"237",2022-01-05 22:00:00,6.1030303030303
"238",2022-01-05 22:30:00,6.09851515151515
"239",2022-01-05 23:00:00,6.09133333333333
"240",2022-01-05 23:30:00,6.08806060606061
"241",2022-01-06 00:00:00,6.08454545454545
"242",2022-01-06 00:30:00,6.08027272727273
"243",2022-01-06 01:00:00,6.07351515151515
"244",2022-01-06 01:30:00,6.067
"245",2022-01-06 02:00:00,6.05851515151515
"246",2022-01-06 02:30:00,6.04930303030303
"247",2022-01-06 03:00:00,6.03809090909091
"248",2022-01-06 03:30:00,6.02430303030303
"249",2022-01-06 04:00:00,6.00818181818182
"250",2022-01-06 04:30:00,5.99266666666667
"251",2022-01-06 05:00:00,5.9789696969697
"252",2022-01-06 05:30:00,5.96566666666667
"253",2022-01-06 06:00:00,5.94924242424242
"254",2022-01-06 06:30:00,5.93590909090909
"255",2022-01-06 07:00:00,5.93093939393939
"256",2022-01-06 07:30:00,5.92715151515152
"257",2022-01-06 08:00:00,5.92160606060606
"258",2022-01-06 08:30:00,5.91660606060606
"259",2022-01-06 09:00:00,5.91375757575758
"260",2022-01-06 09:30:00,5.90954545454545
"261",2022-01-06 10:00:00,5.90563636363636
"262",2022-01-06 10:30:00,5.90357575757576
"263",2022-01-06 11:00:00,5.90245454545455
"264",2022-01-06 11:30:00,5.8889696969697
"265",2022-01-06 12:00:00,5.83357575757576
"266",2022-01-06 12:30:00,5.7740303030303
"267",2022-01-06 13:00:00,5.72887878787879
"268",2022-01-06 13:30:00,5.68427272727273
"269",2022-01-06 14:00:00,5.63330303030303
"270",2022-01-06 14:30:00,5.5980303030303
"271",2022-01-06 15:00:00,5.57930303030303
"272",2022-01-06 15:30:00,5.56969696969697
"273",2022-01-06 16:00:00,5.57078787878788
"274",2022-01-06 16:30:00,5.57848484848485
"275",2022-01-06 17:00:00,5.58260606060606
"276",2022-01-06 17:30:00,5.5870303030303
"277",2022-01-06 18:00:00,5.60227272727273
"278",2022-01-06 18:30:00,5.61836363636364
"279",2022-01-06 19:00:00,5.63342424242424
"280",2022-01-06 19:30:00,5.64872727272727
